Title,Author,Average rating,Number of Ratings,Year,Book description,Book image,Genre
"1st to Die (Women's Murder Club, #1)",James Patterson,4.08,313809,2001,"Four crime-solving friends face off against a killer in San Francisco in the Women's Murder Club novel that started James Patterson's thrilling series.Each one holds a piece of the puzzle: Lindsay Boxer is a homicide inspector in the San Francisco Police Department, Claire Washburn is a medical examiner, Jill Bernhardt is an assistant D.A., and Cindy Thomas just started woFour crime-solving friends face off against a killer in San Francisco in the Women's Murder Club novel that started James Patterson's thrilling series.Each one holds a piece of the puzzle: Lindsay Boxer is a homicide inspector in the San Francisco Police Department, Claire Washburn is a medical examiner, Jill Bernhardt is an assistant D.A., and Cindy Thomas just started working the crime desk of the San Francisco Chronicle.But the usual procedures aren't bringing them any closer to stopping the killings. So these women form a Women's Murder Club to collaborate outside the box and pursue the case by sidestepping their bosses and giving each other a hand. The four women develop intense bonds as they pursue a killer whose crimes have stunned an entire city. Working together, they track down the most terrifying and unexpected killer they have ever encountered--before a shocking conclusion in which everything they knew turns out to be devastatingly wrong.Full of the breathtaking drama and unforgettable emotions for which James Patterson is famous,  is the start of the #1  bestselling series of crime thrillers.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522906581l/13137._SY475_.jpg,"['Mystery', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Mystery', 'Murder Mystery', 'Audiobook', 'Adult', 'Mystery', 'Detective']"
"The Devil's Star (Harry Hole, #5)",Jo Nesbø,4.04,67613,2003,"A young woman is murdered in her Oslo flat. One finger has been severed from her left hand, and behind her eyelid is secreted a tiny red diamond in the shape of a five-pointed star - a pentagram, the devil's star.Detective Harry Hole is assigned to the case with his long-time adversary Tom Waaler and initially wants no part in it. But Harry is already on notice to quit theA young woman is murdered in her Oslo flat. One finger has been severed from her left hand, and behind her eyelid is secreted a tiny red diamond in the shape of a five-pointed star - a pentagram, the devil's star.Detective Harry Hole is assigned to the case with his long-time adversary Tom Waaler and initially wants no part in it. But Harry is already on notice to quit the force and is left with little alternative but to drag himself out of his alcoholic stupor and get to work.A wave of similar murders is on the horizon. An emerging pattern suggests that Oslo has a serial killer on its hands, and the five-pointed devil's star is key to solving the riddle.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328611163l/498389.jpg,"['Mystery', 'Crime', 'Mystery', 'Fiction', 'Thriller', 'European Literature', 'Scandinavian Literature', 'Thriller', 'Mystery Thriller', 'Mystery', 'Detective', 'Scandinavian Lite...', 'Nordic Noir', 'Audiobook', 'Suspense']"
"The Ice Princess (Patrik Hedström, #1)",Camilla Läckberg,3.75,66291,2003,"Returning to her hometown of Fjallbacka after the funeral of her parents, writer Erica Falck finds a community on the brink of tragedy. The death of her childhood friend, Alex, is just the beginning. Her wrists slashed, her body frozen in an ice-cold bath, it seems that she has taken her own life.Erica conceives a book about the beautiful but remote Alex, one that will ansReturning to her hometown of Fjallbacka after the funeral of her parents, writer Erica Falck finds a community on the brink of tragedy. The death of her childhood friend, Alex, is just the beginning. Her wrists slashed, her body frozen in an ice-cold bath, it seems that she has taken her own life.Erica conceives a book about the beautiful but remote Alex, one that will answer questions about their own shared past. While her interest grows into an obsession, local detective Patrik Hedstrom is following his own suspicions about the case. But it is only when they start working together that the truth begins to emerge about a small town with a deeply disturbing past.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347445122l/7058405.jpg,"['Mystery', 'Mystery', 'Crime', 'Fiction', 'Thriller', 'Thriller', 'Mystery Thriller', 'European Literature', 'Scandinavian Literature', 'Cultural', 'Sweden', 'Suspense', 'Audiobook', 'Scandinavian Lite...', 'Nordic Noir']"
"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #15)",Michael Connelly,4.17,210578,2005,"Mickey Haller has spent all his professional life afraid that he wouldn’t recognize innocence if it stood right in front of him. But what he should have been on the watch for was evil.Haller is a Lincoln Lawyer, a criminal defense attorney who operates out of the back seat of his Lincoln Town Car, traveling between the far-flung courthouses of Los Angeles to defend clientsMickey Haller has spent all his professional life afraid that he wouldn’t recognize innocence if it stood right in front of him. But what he should have been on the watch for was evil.Haller is a Lincoln Lawyer, a criminal defense attorney who operates out of the back seat of his Lincoln Town Car, traveling between the far-flung courthouses of Los Angeles to defend clients of every kind. Bikers, con artists, drunk drivers, drug dealers — they’re all on Mickey Haller’s client list. For him, the law is rarely about guilt or innocence — it’s about negotiation and manipulation. Sometimes it’s even about justice.A Beverly Hills playboy arrested for attacking a woman he picked up in a bar chooses Haller to defend him, and Mickey has his first high-paying client in years. It is a defense attorney’s dream, what they call a franchise case. And as the evidence stacks up, Haller comes to believe this may be the easiest case of his career.Then someone close to him is murdered and Haller discovers that his search for innocence has brought him face-to-face with evil as pure as a flame. To escape without being burned, he must deploy every tactic, feint, and instinct in his arsenal — this time to save his own life.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529686346l/40612032._SY475_.jpg,"['Mystery', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Suspense', 'Thriller', 'Legal Thriller', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Drama', 'Mystery', 'Detective']"
"The Keeper of Lost Causes (Department Q, #1)",Jussi Adler-Olsen,3.99,71747,2007,"Carl Mørck used to be one of Copenhagen’s best homicide detectives. Then a hail of bullets destroyed the lives of two fellow cops, and Carl—who didn’t draw his weapon—blames himself. So a promotion is the last thing he expects. But Department Q is a department of one, and Carl’s got only a stack of Copenhagen’s coldest cases for company. His colleagues snicker, but Carl maCarl Mørck used to be one of Copenhagen’s best homicide detectives. Then a hail of bullets destroyed the lives of two fellow cops, and Carl—who didn’t draw his weapon—blames himself. So a promotion is the last thing he expects. But Department Q is a department of one, and Carl’s got only a stack of Copenhagen’s coldest cases for company. His colleagues snicker, but Carl may have the last laugh, because one file keeps nagging at him: a liberal politician vanished five years earlier and is presumed dead.But she isn’t dead … yet.Darkly humorous, propulsive, and atmospheric, The Keeper of Lost Causes introduces American readers to the mega-bestselling series fast becoming an international sensation.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388270380l/10822858.jpg,"['Mystery', 'Mystery', 'Crime', 'Fiction', 'Thriller', 'Thriller', 'Mystery Thriller', 'Cultural', 'Denmark', 'European Literature', 'Scandinavian Literature', 'Scandinavian Lite...', 'Nordic Noir', 'Audiobook', 'Suspense']"
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI (ebook),David Grann,4.06,157019,2017,"In the 1920s, the richest people per capita in the world were members of the Osage Indian Nation in Oklahoma. After oil was discovered beneath their land, the Osage rode in chauffeured automobiles, built mansions, and sent their children to study in Europe.Then, one by one, they began to be killed off. One Osage woman, Mollie Burkhart, watched as her family was murdered. HIn the 1920s, the richest people per capita in the world were members of the Osage Indian Nation in Oklahoma. After oil was discovered beneath their land, the Osage rode in chauffeured automobiles, built mansions, and sent their children to study in Europe.Then, one by one, they began to be killed off. One Osage woman, Mollie Burkhart, watched as her family was murdered. Her older sister was shot. Her mother was then slowly poisoned. And it was just the beginning, as more Osage began to die under mysterious circumstances.In this last remnant of the Wild West—where oilmen like J. P. Getty made their fortunes and where desperadoes such as Al Spencer, “the Phantom Terror,” roamed – virtually anyone who dared to investigate the killings were themselves murdered. As the death toll surpassed more than twenty-four Osage, the newly created F.B.I. took up the case, in what became one of the organization’s first major homicide investigations. But the bureau was then notoriously corrupt and initially bungled the case. Eventually the young director, J. Edgar Hoover, turned to a former Texas Ranger named Tom White to try to unravel the mystery. White put together an undercover team, including one of the only Native American agents in the bureau. They infiltrated the region, struggling to adopt the latest modern techniques of detection. Together with the Osage they began to expose one of the most sinister conspiracies in American history.A true-life murder mystery about one of the most monstrous crimes in American history.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470699853l/29496076.jpg,"['Nonfiction', 'History', 'Crime', 'True Crime', 'Mystery', 'Crime', 'Mystery', 'Audiobook', 'Historical', 'North American Hi...', 'American History', 'Book Club', 'Adult']"
"One for the Money (Stephanie Plum, #1)",Janet Evanovich,4.03,506575,1994,"You've lost your job as a department store lingerie buyer, your car's been repossessed, and most of your furniture and small appliances have been sold off to pay last month's rent. Now the rent is due again. And you live in New Jersey. What do you do?If you're Stephanie Plum, you become a bounty hunter. But not just a nickel-and-dime bounty hunter; you go after the big monYou've lost your job as a department store lingerie buyer, your car's been repossessed, and most of your furniture and small appliances have been sold off to pay last month's rent. Now the rent is due again. And you live in New Jersey. What do you do?If you're Stephanie Plum, you become a bounty hunter. But not just a nickel-and-dime bounty hunter; you go after the big money. That means a cop gone bad. And not just any cop. She goes after Joe Morelli, a disgraced former vice cop who is also the man who took Stephanie's virginity at age 16 and then wrote details on a bathroom wall. With pride and rent money on the line, Plum plunges headlong into her first case, one that pits her against ruthless adversaries - people who'd rather kill than lose.In Stephanie Plum, Evanovich has created a resourceful and humorous character who stands apart from the pack of gritty female detectives.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316730230l/6853.jpg,"['Mystery', 'Fiction', 'Humor', 'Womens Fiction', 'Chick Lit', 'Romance', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Contemporary', 'Adult', 'Audiobook']"
The Woman in the Window (Kindle Edition),A.J. Finn,3.95,582980,2018,"Anna Fox lives alone, a recluse in her New York City home, unable to venture outside. She spends her day drinking wine (maybe too much), watching old movies, recalling happier times . . . and spying on her neighbors.Then the Russells move into the house across the way: a father, a mother and their teenage son. The perfect family. But when Anna, gazing out her window one niAnna Fox lives alone, a recluse in her New York City home, unable to venture outside. She spends her day drinking wine (maybe too much), watching old movies, recalling happier times . . . and spying on her neighbors.Then the Russells move into the house across the way: a father, a mother and their teenage son. The perfect family. But when Anna, gazing out her window one night, sees something she shouldn’t, her world begins to crumble and its shocking secrets are laid bare.What is real? What is imagined? Who is in danger? Who is in control? In this diabolically gripping thriller, no one—and nothing—is what it seems.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528225499l/40389527._SY475_.jpg,"['Thriller', 'Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Mystery', 'Crime', 'Adult', 'Thriller', 'Psychological Thriller', 'Adult Fiction']"
"Knots and Crosses (Inspector Rebus, #1)",Ian Rankin,3.84,49082,1987,"Detective John Rebus: His city is being terrorized by a baffling series of murders...and he's tied to a maniac by an invisible knot of blood. Once John Rebus served in Britain's elite SAS. Now he's an Edinburgh cop who hides from his memories, misses promotions and ignores a series of crank letters. But as the ghoulish killings mount and the tabloid headlines scream, RebusDetective John Rebus: His city is being terrorized by a baffling series of murders...and he's tied to a maniac by an invisible knot of blood. Once John Rebus served in Britain's elite SAS. Now he's an Edinburgh cop who hides from his memories, misses promotions and ignores a series of crank letters. But as the ghoulish killings mount and the tabloid headlines scream, Rebus cannot stop the feverish shrieks from within his own mind. Because he isn't just one cop trying to catch a killer, he's the man who's got all the pieces to the puzzle...  introduces a gifted mystery novelist, a fascinating locale and the most compellingly complex detective hero at work today.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388781809l/634407.jpg,"['Mystery', 'Mystery', 'Crime', 'Fiction', 'Cultural', 'Scotland', 'Thriller', 'Thriller', 'Mystery Thriller', 'Mystery', 'Detective', 'European Literature', 'British Literature', 'Suspense', 'Audiobook']"
The Murder on the Links (Hercule Poirot),Agatha Christie,3.86,61106,1923,"When Hercule Poirot and his sidekick Arthur Hastings arrive in the French village of Merlinville-sur-Mer, France, to meet their client Paul Renauld they learn from Paris police that he has been found that morning stabbed in the back with a letter opener and left in a newly dug grave adjacent to a local golf course. Among the plausible suspects are Renauld's wife Eloise, hiWhen Hercule Poirot and his sidekick Arthur Hastings arrive in the French village of Merlinville-sur-Mer, France, to meet their client Paul Renauld they learn from Paris police that he has been found that morning stabbed in the back with a letter opener and left in a newly dug grave adjacent to a local golf course. Among the plausible suspects are Renauld's wife Eloise, his son Jack, an unknown visitor of the previous day, Renauld's immediate neighbor Madame Daubreuil, and the mysterious ""Cinderella"" of Hasting's recent acquaintance--all of whom Poirot has reason to suspect. Poirot's powers of investigation ultimately triumph over the wiles of an assailant whose misdirection and motives are nearly--but not quite--impossible to spot.Contains a character key, a detailed biography, and an illustrated list of notable Poirot portrayals.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581427726l/51132354.jpg,"['Mystery', 'Fiction', 'Mystery', 'Crime', 'Classics', 'Thriller', 'Mystery Thriller', 'Mystery', 'Detective', 'Audiobook', 'European Literature', 'British Literature', 'Thriller', 'Mystery', 'Murder Mystery']"
"The Girl in the Spider's Web (Millennium, #4)",David Lagercrantz,3.77,151255,2015,"She is the girl with the dragon tattoo—a genius hacker and uncompromising misfit. He is a crusading journalist whose championing of the truth often brings him to the brink of prosecution.Late one night, Blomkvist receives a phone call from a source claiming to have information vital to the United States. The source has been in contact with a young female superhacker—a hackShe is the girl with the dragon tattoo—a genius hacker and uncompromising misfit. He is a crusading journalist whose championing of the truth often brings him to the brink of prosecution.Late one night, Blomkvist receives a phone call from a source claiming to have information vital to the United States. The source has been in contact with a young female superhacker—a hacker resembling someone Blomkvist knows all too well. The implications are staggering. Blomkvist, in desperate need of a scoop for Millennium, turns to Salander for help. She, as usual, has her own agenda. The secret they are both chasing is at the center of a tangled web of spies, cybercriminals, and governments around the world, and someone is prepared to kill to protect it . . . The duo who captivated millions of readers in , and  join forces again in this adrenaline-charged, uniquely of-the-moment thriller.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427843648l/25074850.jpg,"['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Cultural', 'Sweden', 'Contemporary', 'Adult']"
Red Russia (Kindle Edition),Tanya Thompson,4.16,18788,2017,"Among the many things Peter doesn’t know, he doesn’t know he’s an archetype, the Prince of Coins incarnate. He doesn’t know his fiancé is a fortune teller either. He doesn’t know Russian culture, politics, or language, but he does know American business. And he knows his fiancé speaks Russian. He thinks she can make him the new Tsar of the timber industry, but first they mAmong the many things Peter doesn’t know, he doesn’t know he’s an archetype, the Prince of Coins incarnate. He doesn’t know his fiancé is a fortune teller either. He doesn’t know Russian culture, politics, or language, but he does know American business. And he knows his fiancé speaks Russian. He thinks she can make him the new Tsar of the timber industry, but first they must survive a weekend with the Russian mob.  Red Russia is the story of an American businessman and his interpreter in Russia, of business, lies, and deception, of fortunes bought and told. ",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502768249l/36043601._SY475_.jpg,"['Humor', 'Thriller', 'Mystery', 'Crime', 'Mystery', 'Magical Realism', 'Fantasy', 'Paranormal', 'Fantasy', 'Supernatural', 'Fiction', 'Contemporary', 'Cultural', 'Russia']"
The Secret History (Paperback),Donna Tartt,4.11,383724,1992,"Under the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries. But when they go beyond the boundaries of normal morality they slip gradually from obsession to corruption and betrayal, and at last—iUnder the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries. But when they go beyond the boundaries of normal morality they slip gradually from obsession to corruption and betrayal, and at last—inexorably—into evil.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451554846l/29044.jpg,"['Fiction', 'Mystery', 'Contemporary', 'Classics', 'Thriller', 'Literary Fiction', 'Adult', 'Thriller', 'Mystery Thriller', 'Mystery', 'Crime', 'Novels']"
"Cockroaches (Harry Hole, #2)",Jo Nesbø,3.74,47674,1998,"When the Norwegian ambassador to Thailand is found dead in a Bangkok brothel, Inspector Harry Hole is dispatched from Oslo to help hush up the case.But once he arrives Harry discovers that this case is about much more than one random murder. There is something else, something more pervasive, scrabbling around behind the scenes. Or, put another way, for every cockroach you When the Norwegian ambassador to Thailand is found dead in a Bangkok brothel, Inspector Harry Hole is dispatched from Oslo to help hush up the case.But once he arrives Harry discovers that this case is about much more than one random murder. There is something else, something more pervasive, scrabbling around behind the scenes. Or, put another way, for every cockroach you see in your hotel room, there are hundreds behind the walls. Surrounded by round-the-clock traffic noise, Harry wanders the streets of Bangkok lined with go-go bars, temples, opium dens, and tourist traps, trying to piece together the story of the ambassador’s death even though no one asked him to, and no one wants him to—not even Harry himself.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418343189l/18373214.jpg,"['Mystery', 'Crime', 'Mystery', 'Fiction', 'Thriller', 'Mystery', 'Detective', 'Audiobook', 'Thriller', 'Mystery Thriller', 'European Literature', 'Scandinavian Literature', 'Scandinavian Lite...', 'Nordic Noir', 'Suspense']"
Mindhunter: Inside the FBI's Elite Serial Crime Unit (Paperback),John E. Douglas,4.06,52405,1995,"He has hunted some of the most notorious and sadistic criminals of our time: The Trailside Killer in San Francisco, the Atlanta Child murderer. He has confronted, interviewed and researched dozens of serial killers and assassins, including Charles Manson, Richard Speck, John Wayne Gacy, and James Earl Ray - for a landmark study to understand their motives. To get inside thHe has hunted some of the most notorious and sadistic criminals of our time: The Trailside Killer in San Francisco, the Atlanta Child murderer. He has confronted, interviewed and researched dozens of serial killers and assassins, including Charles Manson, Richard Speck, John Wayne Gacy, and James Earl Ray - for a landmark study to understand their motives. To get inside their minds. He is Special Agent John Douglas, the model for law enforcement legend Jack Crawford in Thomas Harris's thrillers  and , and the man who ushered in a new age in behavorial science and criminal profiling. Recently retired after twenty-five years of service, John Douglas can finally tell his unique and compelling story.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308169929l/126584.jpg,"['Crime', 'True Crime', 'Nonfiction', 'Mystery', 'Crime', 'Psychology', 'Audiobook', 'History', 'Biography', 'Autobiography', 'Memoir', 'Mystery', 'Adult']"
"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,3.98,117592,2020,"Four septuagenarians with a few tricks up their sleevesA female cop with her first big caseA brutal murderWelcome to…In a peaceful retirement village, four unlikely friends meet weekly in the Jigsaw Room to discuss unsolved crimes; together they call themselves The Thursday Murder Club. Elizabeth, Joyce, Ibrahim and Ron might be pushing eighty but tFour septuagenarians with a few tricks up their sleevesA female cop with her first big caseA brutal murderWelcome to…In a peaceful retirement village, four unlikely friends meet weekly in the Jigsaw Room to discuss unsolved crimes; together they call themselves The Thursday Murder Club. Elizabeth, Joyce, Ibrahim and Ron might be pushing eighty but they still have a few tricks up their sleeves. When a local developer is found dead with a mysterious photograph left next to the body, the Thursday Murder Club suddenly find themselves in the middle of their first live case. As the bodies begin to pile up, can our unorthodox but brilliant gang catch the killer, before it’s too late?",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582287822l/46000520.jpg,"['Mystery', 'Fiction', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Thriller', 'Contemporary', 'Humor', 'Adult', 'Mystery', 'Murder Mystery']"
"Kiss the Girls (Alex Cross, #2)",James Patterson,3.97,323430,1995,"In Los Angeles, a reporter investigating a series of murders is killed. In Chapel Hill, North Carolina, a beautiful medical intern suddenly disappears. In Washington D.C. Alex Cross is back to solve the most baffling and terrifying murder case ever. Two clever pattern killers are collaborating, cooperating, competing - and they are working coast to coast.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390010470l/13148.jpg,"['Mystery', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Suspense', 'Thriller', 'Mystery Thriller', 'Drama', 'Mystery', 'Detective', 'Adult', 'Novels']"
"The Body Farm (Kay Scarpetta, #5)",Patricia Cornwell,4.05,72154,1994,"The Body Farm - a research institute that tests the decomposition of corpses. Black Mountain, North Carolina: a sleepy little town where the local police deal with one homicide a year, if they're unlucky, and where people are still getting used to the idea of locking their doors at night. But violent death is no respecter of venue, and the discovery of the corpse of an 11-The Body Farm - a research institute that tests the decomposition of corpses. Black Mountain, North Carolina: a sleepy little town where the local police deal with one homicide a year, if they're unlucky, and where people are still getting used to the idea of locking their doors at night. But violent death is no respecter of venue, and the discovery of the corpse of an 11-year-old girl sends shock waves through the community. Dr Kay Scarpetta, Chief medical Examiner on a similar case in Virginia, is called in to apply her forensic skills to this latest atrocity, but the apparent simplicity of the case proves something of a poisoned chalice - until Scarpetta finds enlightenment through the curious pathologists' playground known as the Body Farm.From Author’s Website",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389834053l/6539.jpg,"['Mystery', 'Fiction', 'Mystery', 'Crime', 'Thriller', 'Suspense', 'Thriller', 'Mystery Thriller', 'Drama', 'Mystery', 'Murder Mystery', 'Novels', 'Adult Fiction']"
Mystic River (Paperback),Dennis Lehane,4.13,144850,2001,"When they were children, Sean Devine, Jimmy Marcus, and Dave Boyle were friends. But then a strange car pulled up to their street. One boy got into the car, two did not, and something terrible happened -- something that ended their friendship and changed all three boys forever.Twenty-five years later, Sean is a homicide detective. Jimmy is an ex-con who owns a corner storeWhen they were children, Sean Devine, Jimmy Marcus, and Dave Boyle were friends. But then a strange car pulled up to their street. One boy got into the car, two did not, and something terrible happened -- something that ended their friendship and changed all three boys forever.Twenty-five years later, Sean is a homicide detective. Jimmy is an ex-con who owns a corner store. And Dave is trying to hold his marriage together and keep his demons at bay -- demons that urge him to do terrible things. When Jimmy's daughter is found murdered, Sean is assigned to the case. His investigation brings him into conflict with Jimmy, who finds his old criminal impulses tempt him to solve the crime with brutal justice. And then there is Dave, who came home the night Jimmy's daughter died covered in someone else's blood.A tense and unnerving psychological thriller, Mystic River is also an epic novel of love and loyalty, faith and family, in which people irrevocably marked by the past find themselves on a collision course with the darkest truths of their own hidden selves.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407109549l/21671.jpg,"['Mystery', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Drama', 'Novels', 'Contemporary', 'Adult']"
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,4.04,363410,2017," is the story of what happens when five strangers walk into detention and only four walk out alive. Everyone is a suspect, and everyone has something to hide.On Monday afternoon, five students at Bayview High walk into detention. Bronwyn, the brain,  is Yale-bound and never breaks a rule.  Addy,  the beauty,  is the picture-perfect homecoming princess.  N is the story of what happens when five strangers walk into detention and only four walk out alive. Everyone is a suspect, and everyone has something to hide.On Monday afternoon, five students at Bayview High walk into detention. Bronwyn, the brain,  is Yale-bound and never breaks a rule.  Addy,  the beauty,  is the picture-perfect homecoming princess.  Nate, the criminal, is already on probation for dealing. Cooper, the athlete, is the all-star baseball pitcher. And Simon,  the outcast, is the creator of Bayview High's notorious gossip app.Only, Simon never makes it out of that classroom. Before the end of detention, Simon's dead. And according to investigators, his death wasn't an accident. On Monday, he died. But on Tuesday, he'd planned to post juicy reveals about all four of his high-profile classmates, which makes all four of them suspects in his murder. Or are they the perfect patsies for a killer who's still on the loose? Everyone has secrets, right? What really matters is how far you would go to protect them.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490084494l/32571395._SY475_.jpg,"['Mystery', 'Young Adult', 'Contemporary', 'Fiction', 'Thriller', 'Thriller', 'Mystery Thriller', 'Romance', 'Audiobook', 'Mystery', 'Crime', 'LGBT']"
"Death du Jour (Temperance Brennan, #2)",Kathy Reichs,3.94,47503,1999,"Assaulted by the bitter cold of a Montreal winter, the American-born Dr. Temperance Breman, Forensic Anthropologist for the Province of Quebec, digs for a corpse where Sister Elisabeth Nicolet, dead over a century and now a candidate for sainthood, should lie in her grave. A strange, small coffin, buried in the recesses of a decaying church, holds the first clue to the cloAssaulted by the bitter cold of a Montreal winter, the American-born Dr. Temperance Breman, Forensic Anthropologist for the Province of Quebec, digs for a corpse where Sister Elisabeth Nicolet, dead over a century and now a candidate for sainthood, should lie in her grave. A strange, small coffin, buried in the recesses of a decaying church, holds the first clue to the cloistered nun's fate. The puzzle surrounding Sister Elisabeth's life and death provides a welcome contrast to discoveries at a burning chalet, where scorched and twisted bodies await Tempe's professional expertise. Who were these people? What brought them to this gruesome fate? Homicide Detective Andrew Ryan, with whom Tempe has a combustive history, joins her in the arson investigation. From the fire scene they are drawn into the worlds of an enigmatic and controversial professor, a mysterious commune, and a primate colony on a Carolina island.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390961759l/128756.jpg,"['Mystery', 'Mystery', 'Crime', 'Fiction', 'Thriller', 'Drama', 'Suspense', 'Thriller', 'Mystery Thriller', 'Novels', 'Mystery', 'Murder Mystery', 'Contemporary']"
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,3.92,76412,1955,"Since his debut in 1955, Tom Ripley has evolved into the ultimate bad boy sociopath, influencing countless novelists and filmmakers. In this first novel, we are introduced to suave, handsome Tom Ripley: a young striver, newly arrived in the heady world of Manhattan in the 1950s. A product of a broken home, branded a ""sissy"" by his dismissive Aunt Dottie, Ripley becomes enaSince his debut in 1955, Tom Ripley has evolved into the ultimate bad boy sociopath, influencing countless novelists and filmmakers. In this first novel, we are introduced to suave, handsome Tom Ripley: a young striver, newly arrived in the heady world of Manhattan in the 1950s. A product of a broken home, branded a ""sissy"" by his dismissive Aunt Dottie, Ripley becomes enamored of the moneyed world of his new friend, Dickie Greenleaf. This fondness turns obsessive when Ripley is sent to Italy to bring back his libertine pal but grows enraged by Dickie's ambivalent feelings for Marge, a charming American dilettante. A dark reworking of Henry James's , —is up to his tricks in a 90s film and also Rene Clement's 60s film, ""Purple Noon.""",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611780694l/2247142._SY475_.jpg,"['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Classics', 'Suspense', 'Thriller', 'Mystery Thriller', 'Novels', 'Drama', 'Cultural', 'Italy']"
The Stranger Beside Me: Ted Bundy: The Shocking Inside Story (Paperback),Ann Rule,4.10,85707,1980,"Utterly unique in its astonishing intimacy, as jarringly frightening as when it first appeared, Ann Rule's  defies our expectation that we would surely know if a monster lived among us, worked alongside of us, appeared as one of us. With a slow chill that intensifies with each heart-pounding page, Rule describes her dawning awareness that Ted Bundy, hUtterly unique in its astonishing intimacy, as jarringly frightening as when it first appeared, Ann Rule's  defies our expectation that we would surely know if a monster lived among us, worked alongside of us, appeared as one of us. With a slow chill that intensifies with each heart-pounding page, Rule describes her dawning awareness that Ted Bundy, her sensitive coworker on a crisis hotline, was one of the most prolific serial killers in America. He would confess to killing at least thirty-six young women from coast to coast, and was eventually executed for three of those cases. Drawing from their correspondence that endured until shortly before Bundy's death, and striking a seamless balance between her deeply personal perspective and her role as a crime reporter on the hunt for a savage serial killer -- the brilliant and charismatic Bundy, the man she thought she knew -- Rule changed the course of true-crime literature with this unforgettable chronicle.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330072383l/15654.jpg,"['Crime', 'True Crime', 'Nonfiction', 'Mystery', 'Crime', 'Audiobook', 'Biography', 'Autobiography', 'Memoir', 'Mystery', 'History', 'Horror', 'Adult']"
